ticker,source,date_added
AAON,rule1,2025-07-11
ANF,rule1,2025-07-11
ADBE,rule1,2025-07-29
ALG,rule1,2025-07-11
ALGM,rule1,2025-07-11
GOOGL,rule1,2025-07-29
GOOG,guru_list,2025-07-29
AMZN,guru_list,2025-07-29
AMP,rule1,2025-07-11
AME,rule1,2025-07-11
APH,rule1,2025-07-29
APPF,stock_list,2025-07-25
AIT,rule1,2025-07-29
AMAT,rule1,2025-07-29
ACGL,rule1,2025-07-29
ANET,rule1,2025-07-29
AIP,rule1,2025-07-11
ASML,guru_list,2025-07-29
ATAT,rule1,2025-07-29
ADP,guru_list,2025-07-28
BMI,rule1,2025-07-29
BANF,rule1,2025-07-11
BBAR,rule1,2025-07-11
BMA,rule1,2025-07-11
BSVN,rule1,2025-07-11
FUFU,rule1,2025-07-29
BKNG,guru_list,2025-07-28
BOOT,rule1,2025-07-29
BPT,rule1,2025-07-02
WHD,rule1,2025-07-11
CDNS,guru_list,2025-07-28
CAMT,rule1,2025-07-29
CVCO,rule1,2025-07-29
CMG,rule1,2025-07-29
CTAS,rule1,2025-07-29
YOU,guru_list,2025-07-28
CLMB,rule1,2025-07-11
CCB,rule1,2025-07-11
COKE,rule1,2025-07-11
FIX,rule1,2025-07-29
CPRT,rule1,2025-07-29
COST,rule1,2025-07-29
CGTL,rule1,2025-07-29
DQ,rule1,2025-07-29
DXST,rule1,2025-07-29
DECK,rule1,2025-07-29
DLO,rule1,2025-07-29
DOCS,rule1,2025-07-29
DRD,rule1,2025-07-11
DHI,guru_list,2025-07-28
EWBC,guru_list,2025-07-28
EME,rule1,2025-07-29
ENSG,rule1,2025-07-29
EPAM,rule1,2025-07-11
PLUS,rule1,2025-07-29
ESQ,manual,2025-07-25
EVGO,rule1,2025-07-11
EXLS,rule1,2025-07-29
EXOZ,rule1,2025-07-11
FN,rule1,2025-07-29
FDS,rule1,2025-07-11
FSS,rule1,2025-07-29
RACE,rule1,2025-07-29
FIHL,rule1,2025-07-29
AIFF,rule1,2025-07-11
FTLF,rule1,2025-07-29
FIVE,guru_list,2025-07-28
FND,rule1,2025-07-29
FTNT,guru_list,2025-07-28
FELE,rule1,2025-07-11
FCN,rule1,2025-07-11
GAMB,rule1,2025-07-11
GRMN,rule1,2025-07-29
IT,guru_list,2025-07-28
GMAB,rule1,2025-07-29
GCT,rule1,2025-07-29
GIT,rule1,2025-07-29
OMAB,rule1,2025-07-29
ASR,rule1,2025-07-29
HAO,rule1,2025-07-29
ROLR,rule1,2025-07-11
HLI,rule1,2025-07-11
HUBB,rule1,2025-07-11
IDXX,rule1,2025-07-29
IESC,rule1,2025-07-29
IBKR,guru_list,2025-07-28
IGIC,rule1,2025-07-11
IPAR,rule1,2025-07-29
INTU,rule1,2025-07-29
IRMD,rule1,2025-07-29
JDZG,rule1,2025-07-11
JFIN,rule1,2025-07-11
KSPI,rule1,2025-07-29
KNSL,rule1,2025-07-29
KLAC,rule1,2025-07-29
KULR,rule1,2025-07-11
LNTH,rule1,2025-07-29
LSE,rule1,2025-07-11
LII,rule1,2025-07-29
LOBO,rule1,2025-07-29
LULU,rule1,2025-07-29
MGIC,rule1,2025-07-11
MANH,rule1,2025-07-29
MKTX,rule1,2025-07-11
MA,rule1,2025-07-29
MEDP,rule1,2025-07-29
MTH,rule1,2025-07-11
META,guru_list,2025-07-29
MSFT,guru_list,2025-07-29
MPWR,rule1,2025-07-29
MNST,rule1,2025-07-29
MORN,rule1,2025-07-29
MPTI,rule1,2025-07-29
NSSC,rule1,2025-07-29
NTES,rule1,2025-07-29
NYT,rule1,2025-07-29
NMIH,guru_list,2025-07-29
NVMI,rule1,2025-07-29
NVAX,rule1,2025-07-11
NVO,rule1,2025-07-29
NVDA,guru_list,2025-07-29
OVLY,rule1,2025-07-11
ODD,rule1,2025-07-29
ODC,rule1,2025-07-11
ODFL,guru_list,2025-07-28
OLLI,rule1,2025-07-29
PLMR,rule1,2025-07-11
PAYX,guru_list,2025-07-28
PAYC,rule1,2025-07-29
PCTY,rule1,2025-07-11
PYPL,rule1,2025-07-29
PDD,guru_list,2025-07-29
PMNT,rule1,2025-07-11
PJT,rule1,2025-07-29
POOL,rule1,2025-07-29
PFBC,rule1,2025-07-11
PGR,rule1,2025-07-29
PHM,rule1,2025-07-29
QLYS,rule1,2025-07-29
RJF,rule1,2025-07-11
RAY,rule1,2025-07-29
REGN,guru_list,2025-07-28
RMD,rule1,2025-07-29
RSHL,rule1,2025-07-29
RLI,rule1,2025-07-29
ROL,rule1,2025-07-29
RUM,rule1,2025-07-11
SAIA,stock_list,2025-07-24
SPNS,manual,2025-07-25
SN,guru_list,2025-07-28
SSD,rule1,2025-07-29
SKX,rule1,2025-07-29
STI,rule1,2025-07-11
MDAI,rule1,2025-07-11
SFM,rule1,2025-07-29
STRL,rule1,2025-07-29
SNPS,rule1,2025-07-29
TSM,guru_list,2025-07-29
TGLS,rule1,2025-07-29
TTEK,manual,2025-07-25
TXRH,rule1,2025-07-29
TBBK,manual,2025-07-25
TTD,manual,2025-07-25
COCO,rule1,2025-07-11
BLD,rule1,2025-07-29
TT,rule1,2025-07-11
TGS,rule1,2025-07-29
USLM,rule1,2025-07-29
UTHR,rule1,2025-07-11
INHI,rule1,2025-07-29
OLED,rule1,2025-07-11
VCIG,rule1,2025-07-29
VEEV,rule1,2025-07-29
VRTX,rule1,2025-07-29
V,rule1,2025-07-29
WSO,rule1,2025-07-29
WSO.B,rule1,2025-07-29
WTS,rule1,2025-07-29
GWW,rule1,2025-07-11
XYF,rule1,2025-07-29
XPEL,rule1,2025-07-29
YALA,rule1,2025-07-29
YETI,rule1,2025-07-11
ZTS,rule1,2025-07-29
ZTO,rule1,2025-07-29
AAPL,guru_list,2025-07-29
TSLA,guru_list,2025-07-28
MAT,guru_list,2025-07-28
APP,guru_list,2025-07-28
PPLT,manual,2025-07-25
ULTA,manual,2025-07-25
UUUU,manual,2025-07-25
PLAS,manual,2025-07-25
PLUG,manual,2025-07-25
LOT,stock_list,2025-07-22
HNNMY,stock_list,2025-07-22
AVAL,stock_list,2025-07-22
