ticker,full_name,rule1_score,management_score,moat_score,buy_price,last_price,last_gr,long_gr,guru
ADBE,Adobe Inc,93,100,85,$410,N/A,18,16,7 years
GOOG,Alphabet Inc,97,100,93,$263,N/A,19,19,8 years
GOOGL,Alphabet Inc,97,100,93,$262,N/A,19,19,8 years
AMZN,Amazon.com Inc,88,88,88,$27220,N/A,73,17,3 years
APH,Amphenol Corp,95,90,100,$31,N/A,14,10,15 years
AIT,Applied Industrial Technologies Inc,93,93,93,$1538,N/A,33,5,4 years
AMAT,Applied Materials Inc,97,100,93,$219,N/A,20,15,8 years
ACGL,Arch Capital Group Ltd,93,85,100,$387,N/A,23,21,3 years
ANET,Arista Networks Inc,100,100,100,$1502,N/A,48,22,6 years
ASML,ASML Holding NV,94,100,88,$824,N/A,21,19,9 years
ATAT,Atour Lifestyle Holdings Ltd,93,95,90,$1982873,N/A,144,0,0 years
BMI,Badger Meter Inc,99,100,98,$86,N/A,13,13,12 years
FUFU,BitFuFu Inc,95,90,100,$0,N/A,N/A,N/A,N/A
BOOT,Boot Barn Holdings Inc,93,95,91,$2002,N/A,45,15,7 years
CAMT,Camtek Ltd,96,98,95,$55381784,N/A,256,18,3 years
CVCO,Cavco Industries Inc,100,100,100,$1699,N/A,30,15,6 years
CMG,Chipotle Mexican Grill Inc,100,100,100,$139,N/A,31,15,7 years
CTAS,Cintas Corp,92,90,93,$59,N/A,12,8,16 years
FIX,Comfort Systems USA Inc,99,98,100,$1040,N/A,29,22,8 years
CPRT,Copart Inc,100,100,100,$61,N/A,22,16,11 years
COST,Costco Wholesale Corp,88,90,85,$257,N/A,12,11,16 years
CGTL,Creative Global Technology Holdings Ltd,100,100,100,$0,N/A,N/A,N/A,N/A
DQ,Daqo New Energy Corp,94,100,88,$0,N/A,14466,34,Infinity years
DXST,Decent Holding Inc,100,100,100,$0,N/A,N/A,N/A,N/A
DECK,Deckers Outdoor Corp,100,100,100,$14521,N/A,64,20,2 years
DLO,DLocal Ltd,100,100,100,$822,N/A,60,0,4 years
