guru_name,guru_id,ticker,performance,last_action
Kahn Brothers Advisors,5144,PTEN,2.28%,Decreased
Kahn Brothers Advisors,5144,MSFT,0.19%,Increased
Kahn Brothers Advisors,5144,WEYS,N/A,Unknown
Kahn Brothers Advisors,5144,GNE,1.07%,Decreased
Kahn Brothers Advisors,5144,HLN,0.25%,Decreased
Kahn Brothers Advisors,5144,LWAY,N/A,Unknown
Kahn Brothers Advisors,5144,CVX,0.06%,Held
Kahn Brothers Advisors,5144,RFL,0.06%,Decreased
Kahn Brothers Advisors,5144,NVS,0.45%,Decreased
Kahn Brothers Advisors,5144,IBM,0.09%,Held
Kahn Brothers Advisors,5144,PEY,0.09%,Increased
Kahn Brothers Advisors,5144,PEP,0.05%,Held
Kahn Brothers Advisors,5144,SEB,4.95%,Decreased
Kahn Brothers Advisors,5144,GOOG,1.32%,Increased
Kahn Brothers Advisors,5144,AIG,0.04%,Held
Kahn Brothers Advisors,5144,WBS,0.33%,Decreased
Kahn Brothers Advisors,5144,COF,N/A,Unknown
Kahn Brothers Advisors,5144,BX,0.05%,Held
Kahn Brothers Advisors,5144,NAVI,0.06%,Held
Kahn Brothers Advisors,5144,PFE,3.56%,Decreased
Kahn Brothers Advisors,5144,AM,0.07%,Held
Kahn Brothers Advisors,5144,C,15.16%,Increased
Kahn Brothers Advisors,5144,AAPL,0.12%,Increased
Kahn Brothers Advisors,5144,BAC,0.11%,Decreased
Kahn Brothers Advisors,5144,PNE,0.05%,Increased
Kahn Brothers Advisors,5144,IDT,5.44%,Increased
Kahn Brothers Advisors,5144,CSX,0.27%,Decreased
Kahn Brothers Advisors,5144,MRK,7.8%,Decreased
Kahn Brothers Advisors,5144,BMY,5.12%,Decreased
Kahn Brothers Advisors,5144,FFH,0.37%,Held
Kahn Brothers Advisors,5144,AR,0.2%,Held
Kahn Brothers Advisors,5144,JPM,0.16%,Increased
Kahn Brothers Advisors,5144,GTX,N/A,Unknown
Kahn Brothers Advisors,5144,HOLX,N/A,Unknown
Kahn Brothers Advisors,5144,BP,6.79%,Decreased
Kahn Brothers Advisors,5144,CMCSA,0.05%,Increased
Kahn Brothers Advisors,5144,CI,N/A,Unknown
Kahn Brothers Advisors,5144,PNC,0.06%,Held
Kahn Brothers Advisors,5144,DIS,9.77%,Increased
Kahn Brothers Advisors,5144,OBT,0.04%,Increased
Kahn Brothers Advisors,5144,ZDGE,0.07%,Decreased
Kahn Brothers Advisors,5144,SEIC,0.12%,Held
Kahn Brothers Advisors,5144,FLG,9.2%,Increased
Kahn Brothers Advisors,5144,GSK,5.09%,Increased
Kahn Brothers Advisors,5144,PEG,0.06%,Decreased
Kahn Brothers Advisors,5144,AGO,0.77%,Decreased
Kahn Brothers Advisors,5144,OGN,6.78%,Increased
Kahn Brothers Advisors,5144,PG,0.06%,Increased
Kahn Brothers Advisors,5144,TOU,0.27%,Increased
Kahn Brothers Advisors,5144,XOM,0.41%,Increased
Kahn Brothers Advisors,5144,VZ,0.07%,Decreased
David Rolfe,3225,MSFT,7.04%,Increased
