id,ticker_id,guru_id,date,ticker,source,pe,dividend,cash_per_share,current_ratio,signal_score,sentiment_score,screenshot,rule1_score,moat_score,management_score,buy_price,full_name,last_price,last_action,per_portfolio,long_gr,last_gr,per_upside,pbt,created_at
19254,2391,1231.0,2025-08-16 20:17:41,HWKN,rule1,,,,,73.0,77.0,https://www.stockscores.com/chart.asp?TickerSymbol=HWKN&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,84,90,78,144.0,Hawkins Inc,171.5,,,12,23,67.93,11 years,2025-08-16 20:17:41.314035
19255,2400,1231.0,2025-08-16 20:17:41,MDB,rule1,,,,,70.0,65.0,https://www.stockscores.com/chart.asp?TickerSymbol=MDB&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,57,58,55,21.0,MongoDB Inc,218.26,,,29,9374,-80.76,Infinity years,2025-08-16 20:17:41.314035
19256,3121,1242.0,2025-08-16 20:17:41,TME,guru_portfolio,,,,,95.0,77.0,https://www.stockscores.com/chart.asp?TickerSymbol=TME&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,76,83,70,292.0,Tencent Music Entertainment Group,25.55,Decreased,2.11%,3,22,2185.71,1 years,2025-08-16 20:17:41.314035
19257,3348,1485.0,2025-08-16 20:17:41,MSI,guru_portfolio,,,,,72.0,74.0,https://www.stockscores.com/chart.asp?TickerSymbol=MSI&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,61,55,68,2319.0,Motorola Solutions Inc,460.31,Increased,4.73%,7,39,907.58,8 years,2025-08-16 20:17:41.314035
19258,2405,1231.0,2025-08-16 20:17:41,VTHR,rule1,,,,,98.0,79.0,https://www.stockscores.com/chart.asp?TickerSymbol=VTHR&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,,,,,,283.8,,,,,,,2025-08-16 20:17:41.314035
19259,3070,1231.0,2025-08-16 20:17:41,VGSH,rule1,,,,,78.0,64.0,https://www.stockscores.com/chart.asp?TickerSymbol=VGSH&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,,,,,,58.65,,,,,,,2025-08-16 20:17:41.314035
19260,3071,1231.0,2025-08-16 20:17:41,VGIT,rule1,,,,,64.0,76.0,https://www.stockscores.com/chart.asp?TickerSymbol=VGIT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,,,,,,59.58,,,,,,,2025-08-16 20:17:41.314035
19261,3076,1231.0,2025-08-16 20:17:41,BND,rule1,,,,,74.0,76.0,https://www.stockscores.com/chart.asp?TickerSymbol=BND&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,,,,,,73.44,,,,,,,2025-08-16 20:17:41.314035
19262,2315,1231.0,2025-08-16 20:17:41,INDV,rule1,,,,,75.0,75.0,https://www.stockscores.com/chart.asp?TickerSymbol=INDV&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,19,15,23,10.0,Indivior PLC,23.46,,,7,229,-14.75,,2025-08-16 20:17:41.314035
19263,2320,1231.0,2025-08-16 20:17:41,ACAD,rule1,,,,,92.0,84.0,https://www.stockscores.com/chart.asp?TickerSymbol=ACAD&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen,37,33,40,285250726.0,ACADIA Pharmaceuticals Inc,25.33,Decreased,3%,21,428,2252275667.86,1 years,2025-08-16 20:17:41.314035
