ticker,rule1_score,management_score,moat_score,buy_price,last_price,percentage_upside,dividend,cash_per_share,guru,Signal Score,Sentiment Score,Screenshot
ACGL,93,85,100,$387.42,$88.19,778.60%,23.42,21.84,3.29 years,25.0,36.0,https://www.stockscores.com/chart.asp?TickerSymbol=ACGL&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ADBE,93,100,85,$410.23,$364.18,125.29%,18.57,16.43,7.49 years,26.0,24.0,https://www.stockscores.com/chart.asp?TickerSymbol=ADBE&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
AIT,93,93,93,"$1,538.12",$254.41,1109.07%,33.83,5.1,4.46 years,72.0,71.0,https://www.stockscores.com/chart.asp?TickerSymbol=AIT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
AMAT,97,100,93,$219.8,$199.29,120.58%,20.25,15.22,9 years,98.0,88.0,https://www.stockscores.com/chart.asp?TickerSymbol=AMAT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
AMZN,88,88,88,"$27,220.7",$226.35,23951.25%,73.32,17.05,3.48 years,98.0,84.0,https://www.stockscores.com/chart.asp?TickerSymbol=AMZN&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ANET,100,100,100,"$1,502.74",$107.37,2697.80%,48.66,22.26,6.76 years,72.0,77.0,https://www.stockscores.com/chart.asp?TickerSymbol=ANET&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
APH,95,90,100,$31.17,$99.44,-37.31%,14.29,10.95,14.67 years,63.0,79.0,https://www.stockscores.com/chart.asp?TickerSymbol=APH&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
APP,83,75,90,$353.83,$352.96,100.49%,25.89,0.0,8.71 years,57.0,55.0,https://www.stockscores.com/chart.asp?TickerSymbol=APP&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ASML,94,100,88,$824.53,$823.02,100.37%,21.5,19.05,10.27 years,98.0,81.0,https://www.stockscores.com/chart.asp?TickerSymbol=ASML&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ASR,100,100,100,"$40,132.25",$305.24,26195.37%,28.74,10.55,0.69 years,40.0,47.0,https://www.stockscores.com/chart.asp?TickerSymbol=ASR&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ATAT,93,95,90,"$1,982,873.19",$35.93,10932.56%,144.04,0.0,0.94 years,77.0,80.0,https://www.stockscores.com/chart.asp?TickerSymbol=ATAT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
BLD,93,85,100,"$1,877.66",$356.97,951.63%,32.65,17.7,6.06 years,74.0,70.0,https://www.stockscores.com/chart.asp?TickerSymbol=BLD&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
BMI,99,100,98,$86.56,$237.68,-27.16%,13.72,13.55,13.85 years,24.0,54.0,https://www.stockscores.com/chart.asp?TickerSymbol=BMI&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
BOOT,93,95,91,"$2,002.05",$163.48,2349.23%,45.92,15.46,7.67 years,71.0,76.0,https://www.stockscores.com/chart.asp?TickerSymbol=BOOT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
CAMT,96,98,95,"$55,381,784.72",$90.95,121683.40%,256.79,18.03,3.46 years,98.0,77.0,https://www.stockscores.com/chart.asp?TickerSymbol=CAMT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
CGTL,100,100,100,$0.29,$1.01,-42.57%,,,,,,https://www.stockscores.com/chart.asp?TickerSymbol=CGTL&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
CMG,100,100,100,$139.45,$53.95,416.96%,31.73,15.88,8.18 years,49.0,67.0,https://www.stockscores.com/chart.asp?TickerSymbol=CMG&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
COST,88,90,85,$257.56,$967.68,-46.77%,12.54,11.04,16.91 years,15.0,37.0,https://www.stockscores.com/chart.asp?TickerSymbol=COST&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
CPRT,100,100,100,$61.06,$45.9,166.06%,22.14,16.28,11.24 years,2.0,21.0,https://www.stockscores.com/chart.asp?TickerSymbol=CPRT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
CTAS,92,90,93,$59.04,$213.24,-44.63%,12.25,8.16,16.29 years,39.0,53.0,https://www.stockscores.com/chart.asp?TickerSymbol=CTAS&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
CVCO,100,100,100,"$1,699.38",$432.87,684.99%,30.04,15.36,6.81 years,16.0,41.0,https://www.stockscores.com/chart.asp?TickerSymbol=CVCO&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
DECK,100,100,100,"$14,521.04",$95.32,30367.90%,64.39,20.98,2.02 years,2.0,27.0,https://www.stockscores.com/chart.asp?TickerSymbol=DECK&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
DLO,100,100,100,$822.01,$10.98,14872.86%,60.62,0.0,4.26 years,59.0,62.0,https://www.stockscores.com/chart.asp?TickerSymbol=DLO&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
DOCS,95,100,90,"$6,022,795.28",$62.05,19310.15%,273.48,0.0,2.67 years,55.0,63.0,https://www.stockscores.com/chart.asp?TickerSymbol=DOCS&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
DQ,94,100,88,$0,$19.73,-100.00%,14466.71,34.33,Infinity years,55.0,60.0,https://www.stockscores.com/chart.asp?TickerSymbol=DQ&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
DXST,100,100,100,$0.29,$1.18,-50.85%,,,,,,https://www.stockscores.com/chart.asp?TickerSymbol=DXST&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
EME,93,93,93,$881.11,$549.76,220.54%,21.85,13.77,6.65 years,72.0,84.0,https://www.stockscores.com/chart.asp?TickerSymbol=EME&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ENSG,90,90,90,$217.95,$141.18,208.75%,23.75,11.81,8.05 years,60.0,62.0,https://www.stockscores.com/chart.asp?TickerSymbol=ENSG&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
ESQ,90,80,100,$492.45,$95.62,930.01%,33.18,20.59,5.64 years,47.0,75.0,https://www.stockscores.com/chart.asp?TickerSymbol=ESQ&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
EXLS,97,95,98,$25.55,$41.4,23.43%,14.23,13.91,10.56 years,3.0,33.0,https://www.stockscores.com/chart.asp?TickerSymbol=EXLS&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
FIHL,93,90,95,$55.86,$15.75,609.33%,258.88,0.0,Infinity years,40.0,43.0,https://www.stockscores.com/chart.asp?TickerSymbol=FIHL&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
FIX,99,98,100,"$1,040.53",$539.02,285.89%,29.34,22.23,7.39 years,63.0,79.0,https://www.stockscores.com/chart.asp?TickerSymbol=FIX&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
FN,100,100,100,$286.65,$301.47,90.17%,22.59,13.34,11.7 years,87.0,73.0,https://www.stockscores.com/chart.asp?TickerSymbol=FN&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
FND,88,90,85,$604.28,$78.67,1436.24%,44.16,16.8,12.18 years,53.0,59.0,https://www.stockscores.com/chart.asp?TickerSymbol=FND&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
FSS,94,93,95,$83.4,$107.01,55.87%,18.98,9.04,11.41 years,62.0,81.0,https://www.stockscores.com/chart.asp?TickerSymbol=FSS&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
FTLF,93,90,95,$257.65,$13.19,3806.75%,40.01,24.82,5.5 years,39.0,38.0,https://www.stockscores.com/chart.asp?TickerSymbol=FTLF&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
FUFU,95,90,100,$0,$3.63,-100.00%,,,,40.0,47.0,https://www.stockscores.com/chart.asp?TickerSymbol=FUFU&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
GCT,95,100,90,"$91,663.48",$20.26,904766.73%,152.15,0.0,1.75 years,61.0,71.0,https://www.stockscores.com/chart.asp?TickerSymbol=GCT&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
GIT,100,100,100,$2.77,$0,,,,,,,
GMAB,100,100,100,"$20,533.3",$21.15,194065.48%,56.24,40.43,0.96 years,64.0,61.0,https://www.stockscores.com/chart.asp?TickerSymbol=GMAB&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
GOOG,97,100,93,$263.48,$183.1,187.80%,19.7,19.65,8.11 years,98.0,79.0,https://www.stockscores.com/chart.asp?TickerSymbol=GOOG&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
GOOGL,97,100,93,$262.06,$182,187.98%,19.66,19.65,8.09 years,98.0,80.0,https://www.stockscores.com/chart.asp?TickerSymbol=GOOGL&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
GRMN,95,100,90,$83.68,$216.14,-22.57%,12.01,10.41,13.86 years,59.0,63.0,https://www.stockscores.com/chart.asp?TickerSymbol=GRMN&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
HAO,100,100,100,$0,$1.44,-100.00%,,,,54.0,44.0,https://www.stockscores.com/chart.asp?TickerSymbol=HAO&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
IBKR,90,80,100,"$1,010.58",$59.63,3287.56%,32.86,20.84,2.04 years,98.0,83.0,https://www.stockscores.com/chart.asp?TickerSymbol=IBKR&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
IDXX,90,90,90,"$37,878.07",$526.66,14284.23%,77.62,11.4,5.65 years,48.0,73.0,https://www.stockscores.com/chart.asp?TickerSymbol=IDXX&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
IESC,98,95,100,"$17,601.06",$302.7,11529.34%,66.43,22.95,5.54 years,71.0,79.0,https://www.stockscores.com/chart.asp?TickerSymbol=IESC&TimeRange=180&Interval=d&Volume=1&ChartType=CandleStick&Stockscores=1&ChartWidth=1100&ChartHeight=480&LogScale=&Band=&avgType1=&movAvg1=&avgType2=&movAvg2=&Indicator1=None&Indicator2=None&Indicator3=None&Indicator4=None&endDate=&CompareWith=&entryPrice=&stopLossPrice=&candles=redgreen
INHI,95,90,100,$0.17,$0,,,,,,,
