ticker,full_name,rule1_score,management_score,moat_score,buy_price,last_price,last_gr,long_gr,guru
A,Agilent Technologies Inc,68,85,50,$71,N/A,13,6,10 years
ABX,Barrick Mining Corp,41,48,35,$25,N/A,16,7,13 years
ACAD,ACADIA Pharmaceuticals Inc,37,40,33,$285250726,N/A,428,21,1 years
ACGL,Arch Capital Group Ltd,93,85,100,$387,N/A,23,21,3 years
ACLS,Axcelis Technologies Inc,82,100,63,$30060,N/A,76,26,4 years
ADBE,Adobe Inc,93,100,85,$410,N/A,18,16,7 years
ADI,Analog Devices Inc,60,43,78,$250,N/A,26,3,9 years
AEIS,Advanced Energy Industries Inc,64,80,48,$54,N/A,19,19,14 years
AEP,American Electric Power Co Inc,28,15,41,N/A,N/A,N/A,N/A,N/A
AES,The AES Corp,20,8,32,$48,N/A,27,2,N/A
AFRM,Affirm Holdings Inc,13,0,25,$20,N/A,178,0,Infinity years
AIT,Applied Industrial Technologies Inc,93,93,93,N/A,N/A,33,5,N/A
AMAT,Applied Materials Inc,97,100,93,$219,N/A,20,15,8 years
AMD,Advanced Micro Devices Inc,68,75,60,$297383,N/A,139,22,5 years
AMED,Amedisys Inc,56,68,45,$684,N/A,38,4,Infinity years
AMKR,Amkor Technology Inc,72,85,58,$38,N/A,19,9,8 years
AMPY,Amplify Energy Corp,13,25,0,$1364251,N/A,245,3,Infinity years
AMRK,A-Mark Precious Metals Inc,47,50,43,$1723,N/A,55,1,Infinity years
AMRX,Amneal Pharmaceuticals Inc,23,0,46,$8,N/A,676,7,Infinity years
AMT,American Tower Corp,40,25,55,$98,N/A,8,6,15 years
AMZN,Amazon.com Inc,88,88,88,$27220,N/A,73,17,3 years
ANET,Arista Networks Inc,100,100,100,$1502,N/A,48,22,7 years
AON,Aon PLC,55,30,80,$527,N/A,23,9,8 years
APH,Amphenol Corp,95,90,100,N/A,N/A,N/A,N/A,N/A
APP,AppLovin Corp,83,75,90,$353,N/A,25,0,9 years
ARHS,Arhaus Inc,83,95,70,$5088,N/A,111,0,2 years
ASML,ASML Holding NV,94,100,88,$824,N/A,21,19,9 years
ASR,Grupo Aeroportuario del Sureste SAB de CV,100,100,100,$40132,N/A,28,10,0 years
ATAT,Atour Lifestyle Holdings Ltd,93,95,90,$1982873,N/A,144,0,0 years
AVTR,Avantor Inc,28,17,40,$824,N/A,51,0,2 years
AWI,Armstrong World Industries Inc,71,78,65,$139,N/A,17,8,18 years
AZN,AstraZeneca PLC,61,33,90,$356195,N/A,131,11,1 years
BAX,Baxter International Inc,9,13,6,N/A,N/A,N/A,N/A,N/A
